name,logo_url,description,stage,sector,business_model,team_size,email,phone,services
Tasweaa,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1753610542IMG_4345.png,"تسوية هي شركة ناشئة سعودية في مجال التقنية التأمينية (InsurTech)، تعمل على أتمتة وتسريع عملية تسوية مطالبات تأمين المركبات بعد وقوع الحادث، من خلال التكامل مع منصات حكومية مثل نجم، تقدير، واثق، أبشر، وIBAN.

يكتفي العميل بإدخال رقم الحادث، ليقوم النظام بجلب كافة البيانات، تقييم المطالبة، كشف الاحتيال، واتخاذ قرار فوري بالتعويض.

تسوية تقلل التكاليف التشغيلية، ترفع رضا العملاء، وتساعد شركات التأمين على تحسين الكفاءة وزيادة الربحية",Pre-Seed,Insurance,B2B,1-9,a.almalki@tasweaa.com,0570709108,"[{'title': 'تسوية آلية لمطالبات تأمين المركبات', 'description': '•\tمعالجة المطالبات إلكترونيًا دون تدخل بشري.\r\n\t•\tاتخاذ القرار خلال دقائق بناءً على تقييم الذكاء الاصطناعي'}, {'title': 'تكامل لحظي مع الأنظمة الحكومية', 'description': '•\tجلب بيانات الحادث، التقدير، والتحقق من هوية العميل ورقم الآيبان تلقائيًا.\r\n\t•\tدون الحاجة لرفع مستندات يدوية من قبل العميل'}, {'title': 'كشف الاحتيال باستخدام الذكاء الاصطناعي', 'description': '•\tتحليل المطالبة واكتشاف الأنماط غير الطبيعية.\r\n\t•\tتصنيف المطالبات حسب مستوى الخطورة'}, {'title': 'لوحة تحكم لشركات التأمين', 'description': '•\tمتابعة مباشرة لجميع المطالبات.\r\n\t•\tإعداد قواعد سير العمل والموافقة الآلية.\r\n\t•\tتقارير تفصيلية ومؤشرات أداء.'}]"
Monshaat,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1753106514Monshaat_Logo_PNG_4.png,Startup Description,Post Seed,Agriculture,C2B,10-19,noha.elshourbagy+12@linkdev.com,056767689,"[{'title': 'Service', 'description': 'Details'}]"
Monshaat,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1753105790Monshaat_Logo_PNG_4.png,Startup Description,Pre-Series A,Agriculture,B2B2C,10-19,noha.elshourbagy+99@linkdev.com,059494932,"[{'title': 'Service', 'description': 'Details'}]"
Monshaat,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1753104916Monshaat_Logo_PNG_4.png,Startup Description,Pre-Series A,AR/VR,B2C,10-19,noha.elshourbagy@linkdev.com,059494932,"[{'title': 'service', 'description': 'details'}]"
Borderline Beauty,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1753091322Brand Logo Primary-01.jpg,"Brand Overview:
Borderline Beauty is a Saudi-born sun care brand built specifically for Gulf weather conditions. It proudly stands as the first and only in the Middle East to offer vegan, cruelty-free, and reef-friendly formulations. The brand offers high-performance, 100% mineral SPF products that are clean, non-comedogenic, vegan, and designed for daily use in harsh climates. Its debut product, the Defense Mechanism Sun Stick SPF 50, delivers breathable, transparent protection with no white cast—formulated in South Korea to meet global skincare standards. Borderline Beauty aims to redefine sun protection in the region with formulations that prioritize real skin, daily usability, and aesthetic appeal.

Flagship Product:
Their signature item, the DEFENSE MECHANISM Sun Stick SPF 50, is a transparent mineral sunscreen stick designed for everyday use. It’s compact, skin-nourishing—with polypeptides for UV protection, anti-inflammatory effects, and inclusion of antioxidant-rich, clean ingredients.",Post Seed,E-commerce - Fashion & Beauty,B2C,1-9,info@theborderlinebeauty.com,0582224130,"[{'title': 'Sun care', 'description': 'Sunscreens'}]"
شركة دروب ومسارات لتوجيه مركبات الأجرة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1752878748WhatsApp Image 2025-07-19 at 1.36.30 AM.jpeg,شركة سعودية تقنية متخصصة في قطاع النقل التشاركي، تعمل على تطوير حلول مبتكرة تعزز من تجربة التنقل اليومي وتواكب رؤية المملكة 2030 من خلال منصة متكاملة تخدم النقل والخدمات اللوجيستية بأنواعها .,Growth,Delivery & Logistics - Transport,Platform,1-9,droobapp.ksa@gmail.com,0557327700,"[{'title': 'طلب سيارة بسهولة', 'description': 'يتيح للمستخدمين طلب سيارة بنقرة زر واحدة عبر التطبيق.'}, {'title': 'تحديد الموقع والمسار', 'description': 'يوفر خاصية تحديد الموقع الجغرافي للمستخدم وإظهار المسار المتوقع للرحلة.'}, {'title': 'خيارات متعددة للركوب', 'description': 'مثل السيارات العادية، الفاخرة، أو المركبات المشتركة.'}, {'title': 'الدفع الإلكتروني', 'description': 'يدعم طرق دفع متنوعة مثل الدفع النقدي، البطاقة البنكية، أو المحفظة الرقمية.'}, {'title': 'تقييم السائقين والخدمة', 'description': 'يمكن للمستخدمين تقييم الرحلة والسائق لضمان جودة الخدمة.'}, {'title': 'جدولة الرحلات', 'description': 'إمكانية حجز رحلة مستقبلية مسبقًا'}]"
وكالة المربع الازرق للخدمات التسويقية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1752611429IMG_7129.jpeg,"🚀 نبذة عن المشروع

“المربع الأزرق” وكالة سعودية ناشئة في مجال التسويق الرقمي، متخصصة بدقة في تقديم حلول إبداعية وموجهة للعيادات الطبية والتجميلية، مع تركيز عالٍ على تحسين تجربة المريض الرقمي وزيادة الحجوزات الفعلية عبر المنصات الرقمية وذلك باستخدام انظمة الذكاء الاصطناعي Ai 

– الانطلاق الرسمي: 2024
– عدد أفراد الفريق: 3
– الخبرة التراكمية للفريق: +7 سنوات
– الموقع: المنطقة الشرقية – المملكة العربية السعودية
– نطاق العمل الحالي: تسويق رقمي للعيادات عبر الإعلانات، المحتوى، والهوية البصرية.

———————————————

💡 ما يميزنا
– تخصص دقيق في قطاع عالي الطلب والنمو (العيادات التجميلية والطبية).
– خدمات موجهة بذكاء لتجربة المريض الرقمي من الإعلان وحتى الحجز.
– حزم تسويقية مرنة ومخصصة تلائم طبيعة كل عيادة، وتبني علاقة طويلة الأمد مع العميل.

———————————————

📊 أداء المشروع الحالي
– عدد العملاء خلال أول 6 أشهر: 5 عيادات
– رضا العملاء وتكرار التعاون: 100%
– الإيرادات الشهرية المتوقعة في 2025: 12,000 – 20,000 ريال (قابلة للزيادة مع توسع الفريق)
– معدل الاحتفاظ بالعميل: مرتفع (شبه دائم)

———————————————

🎯 الرؤية

أن تكون المربع الأزرق الخيار الأول للتسويق الرقمي في قطاع العيادات التجميلية والطبية في السعودية والخليج.

———————————————

💰 الفرصة الاستثمارية
– قيمة التقييم الحالي: 300,000 ريال سعودي
– نسبة الاستثمار المطلوبة: 25% مقابل 75,000 ريال

– تم التقييم بالاعتماد على نماذج تقييم المشاريع الناشئة (Startup Valuation Methods) 
نموذج Comparables (المقارنات السوقية)
– تم تقييم المشروع كمشروع جاهز للتشغيل، وليس كمجرد فكرة، وهو ما يبرر التقييم بـ 300 ألف ريال

———————————————
– الاستخدام المتوقع للتمويل:
– تطوير انظمة الـAi 
– بناء النظام الداخلي (CRM + AI).
– تكاليف تسويق واستقطاب عملاء.
– رفع جودة الخدمات وتحسين الكفاءة التشغيلية.
- بناء فريق تسويق رقمي داخلي
- تطوير المحتوى والباقات
- الحملات الإعلانية لزيادة العملاء

⸻

📞 للتواصل

أحمد – المؤسس والمدير التنفيذي
‏📧 ahmmd.a300@gmail.com
📍 الشرقية – المملكة العربية السعودية",Seed,Advertising and Marketing,B2B,1-9,Blue_square@outlook.sa,0546275352,"[{'title': 'التسويق الرقمي', 'description': 'نقوم بالتسويق باستخدام انظمة الذكاء الاصطناعي الـAi وبتخصص دقيق "" العيادات الطبية ""'}]"
StratVera Services W.L.L,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1752589653SAFEHAUL.png,"SafeHaul is an AI-powered cognitive platform redefining risk management in the logistics and fleet industry. Unlike traditional telematics or camera-based systems that only record events, SafeHaul uses real-time AI to detect driver intent, fatigue, distraction, and unsafe behavior before incidents occur. Our cognitive layer delivers predictive insights and intelligent alerts to fleet operators and control towers, enabling preventive actions rather than reactive responses. By blending deep learning, computer vision, and behavioral analytics, we go beyond visibility to deliver true operational intelligence.",Pre-Seed,Artificial Intelligence - Delivery & Logistics - Technology,B2B,1-9,hello@safehaul.com,0580132982,"[{'title': 'Real time Fleet Risk Detection', 'description': 'An AI & Cognitive based Fleet risk detection and prevention platform that provides real time risk for both intentional & un-intentional risks for fleet operators.'}]"
نظام وتطبيق عابر للرقابة على مواقف الأشخاص ذوي الإعاقة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1752567713aber.jpg,"شركة البيانات الضخمة لتقنية المعلومات - شركة تحت التأسيس متخصصة في تقنية المعلومات  
تهتم ببرامج وأنظمة نوعيه غير تقليدية 

مشروعنا الحالي هو نظام عابر للرقابة على مواقف الاشخاص ذوي الاعاقة ، ونستهدف إلى تقليل المخالفات من 98000 إلى 0 مخالفات من خلال الذكاء الاصطناعي 

تم تصميم المشروع وتسجيله في المملكة ، بموجب ملكية فكرية وحمايته الابتكار لمدة 10 سنوات 

المشروع على شقين  
الاول تطبيق عابر وهو لتسجيل المستحقين من ذوي الاعاقة الحركية وعددهم 833000 وتسجيل مركباتهم في التطبيق وييتح لهم الوقوف في المواقف الذكية بكل سهولة دون غيرهم 

الثاني : كمبيوتر ونظام عابر وهو صندوق ذكي على شكل اللوحة ويحتوي على كاميرا ذكية يقرا لوحات المركبات ويقارنها بالمركبات المسجلة مسبقا في تطبيق عابر ، وفي حال المركبة مسجلة يعتبرها زائر أما في حال وقوف غيرها سيتم تحرير مخالفة 

نستهدف إلى تسخير التقنية لخدمة ذوي الاعاقة ، ورفع اسم المملكة محليا ودوليا في تحسين جودة الحياه وفي حال انخفظت المخالفات سيكون المشروع نجح في تحسين جودة الحياة ليتم رفع اسم المملكة عالمياً وبيع التقنية على بقية الدول في الخليج من خلال نظام موحد لهذه الفئة الغالية ، اما في حال زيادة المخالفات فسيتم توظيف ما لايقل عن 50 سعودي من ذوي الاعاقة للاشراف على المشروع وتشغيله 

حاز المشروع على 6 جوائز محلية وعالمية في المعرض الدولي للابتكار اكسبو جدة 

تم عرض المشروع على هيئة رعاية الاشخاص ذوي الاعاقة ، وبرنامج جودة الحياة ولاقى اقبال منقطع النظير في استخدام التقية 

تم رفع المشروع للمقام السامي وتم التوجيه لوزارة الداخلية ... 

نحتاج : 
1. تمويل يبدأ من 500 الف ريال كمرحلة أولى للتطوير والتجربة لعدة مواقع مع التطبيق  
2.خطاب حاضنه من حاضنه معتمدة لتقديم طلب الاقامة المميزة وأن تكون الحاضنه معتمدة 
3.أن تحدد نسبة المشاركة للحاضنه إن وجدت بعد موافقةالجهات ذات العلاقة وحساب تكاليف المشروع 
4.حسب الدارسة متوقع التكلفة من 5 مليون إلى 7 مليون ريال لمرة واحدة 
5.نسعى إن أن نكون في مقدمة الشركات المتخصصة في المدن الذكية",Pre-Seed,Data Analytics and Business - Intelligence - Social Entrepreneurship - Quality of life,B2G,1-9,ali.badeek@gmail.com,0555305098,"[{'title': 'المرحلة الأولى : تركيب ورصد المخالفات', 'description': 'رصد ألي عبر الذكاء'}, {'title': 'خدمات تيسير ذوي الاعاقة عبر تطبيق', 'description': 'تطبيق لتحسين جودة حياه ذوي الاعاقة عبر الموافق الذكية'}, {'title': 'طلب الصناديق الذكية', 'description': 'اتاحه طلب تركيب الصندوق لملاك العقار من المعاقين مجانا \r\nواتاحه تركيب الصندوق مقابل رسم معين للقطاعات التجارية الملتزمة بوضع لوح ومواقف ذوي الاعاقة'}, {'title': 'المرحلة الثانية - عابر الخليجي', 'description': 'الربط مع دول مجلس التعاون في خدمات ذوي الاعاقة يتم تسجيل جميع الدول الراغبة في التقنية بحيث تسجيل مثلا البحرين - فمن زار من السعوديين البحرين يكون قاعدة البيانات مسجلة - وكذلك من زار السعودية من ذوي الاعاقة وسجل بيانات سيكون ضيف في المملكة دون اي مراجعة لاي قطاع'}, {'title': 'خدمات إضافية للتطبيق', 'description': 'معرفة اقرب موقف \r\nتسجيل المركبات \r\nطلب صناديق ذكية'}, {'title': 'المرحلة الثالثة : تفعيل الجانب الانساني لتحقيق جودة الحياة', 'description': 'يتم الربط مع وزارة الصحة - للحالات التي تتطلب استخدام المواقف \r\nمثال كسر القدم أو الحوامل أو كبار السن \r\nبحيث يتم منح اصحاب الاصابات البسيطة تصريح يخوله في استخدام المواقف لفترة معينة لحين تماثله في الشفاء ، وذلك من خلال تقرير لوزارة الصحة يرسل له لتحميل التطبيق ، وعند تماثله للشفاء يتم استبعاد الخدمة'}, {'title': 'التصنيع والتوظيف وشراكة الصين', 'description': 'نستهدف إلى تصنيع التقنية داخل المملكة \r\nنتسهدف إلى توظيف ذوي الاعاقة السمعية في الميداتن وتوظيف ذوي الاعاقة الحركية في الموقع بما لا يقل عن 90 % من الموظفين \r\n\r\nتم وصول عرض استحواذ للتصنيع بشكل رسمي من شركة صينيه - ولكن تم تاجيل الطلب لامرين \r\nالاول ان المنتج سعودي فكرة وتنظيما \r\nالثاني ان المملكة لا تنقصها الموارد المالية'}]"
Wandpro,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1752462373IMG_5249.jpeg,"تطبيق يهدف الى ربط مقدمي الخدمات السياحية
وﻃﺎﻟﺒﻴﻬﺎ ﺣﻴﺚ ﻳﻌﻤﻞ ﻛﻮﺳﻴﻂ ﻟﺘﺴﻬﻴﻞ اﻟﻮﺻﻮل
الى ﺗﺠﺎرب ﺳﻴﺎﺣﻴﺔ ﻣﻤﻴﺰة وﻣﺨﺼﺼﺔ
ﻛﻤﺎ ﻳﻘﺪم ﺣﻠﻮﻻً ﺗﻘﻨﻴﺔ ﻟﻠﺸﺮﻛﺎت اﻟﺴﻴﺎﺣﻴﺔ
ﻟﺘﺴﻬﻴﻞ إدارة اﻟﺨﺪﻣﺎت وﺟﺬب اﻟﻌﻤﻼء",Pre-Seed,Artificial Intelligence - IT Solutions - Travel & Tourism,Platform,1-9,Fa.f8999@gmail.com,0581332300,"[{'title': 'مقارنة الباقات السياحية', 'description': 'يتيح للمستخدمين مقارنة الأسعار والخدمات بين شركات سياحية متعددة في نفس الوجهة'}, {'title': 'التسويق للشركات السياحية', 'description': 'توفير أدوات رقمية لعرض خدماتهم على جمهور واسع من السياح المحليين والدوليين'}, {'title': 'الحجز والدفع الإلكتروني', 'description': 'تمكين المستخدم من حجز الباقة مباشرة عبر التطبيق والدفع الإلكتروني الآمن'}]"
